text,label_true,label_pre
-经历登场戴宗的出场是由吴用引荐，当时宋江由公人张千、李万押往江州，却由刘唐等梁山人众拦,unknown,unknown
十一运会结束后，徐根宝追随恩师范志毅在东亚队担任主教练。,父母,父母
、侯宝林）、全家福（郭启儒、郭全宝）、三棒鼓（侯宝林、郭启儒）、似是而非（侯宝林、郭启,unknown,unknown
”视频中，当时节目导演要求一位嘉宾补录镜头，朱丹表示赞同，华少则认为现场气氛很好，可以等整体完成之后,unknown,unknown
信，从此我们就疏远起来了”1918年2月10日，旧历除夕，刘半农第一次赴鲁迅寓所——S（绍兴）会馆拜,上下级,上下级
调戏嫦娥--也不掂量掂量自己猪八戒背孙悟空---能人背后有能人猪八戒戴眼镜--冒充大学生猪八戒演讲,父母,父母
9实话实说-大兵、奇志10如此医生-奇志、大兵11为什么受伤的总是我-奇志,夫妻,夫妻
1970年代，谭咏麟、彭健新、陈友、叶智强与钟镇涛组成温拿乐队，并与钟镇涛一起担任了温拿的主音歌手，,unknown,unknown
聽美籍华人赵无极先生，与法国华人画家贝聿铭、美籍华人作曲家周文中，被誉为海外华人的“艺术三宝”。,合作,合作
和他宠幸的项羽在此际唱出了著名的《垓下歌》后，虞姬率精锐骑兵决定突围。,夫妻,夫妻
、罗艳卿、梁醒波43抬轿姑爷（1961）任冰儿、罗艳卿、梁醒波、任剑辉44狄青（1961）任剑辉、罗,unknown,unknown
-家族资料关羽父亲聽聽关兴母亲聽聽胡氏兄弟姐妹聽聽关平聽聽关索聽聽曾效力过的,unknown,unknown
转攻合肥，甘宁、孙权等千余人在逍遥津遭到张辽军的奇袭，甘宁在肉搏战中表现异常英勇,父母,父母
为使患有高血压病的她少受折磨，新凤霞尽可能地多分担戴月琴的活儿，如搓煤球、劈柴、生炉子、扫厕所，危难,同门,同门
在选秀大年2003年NBA选秀中，詹姆斯在勒布朗·波什，达科·米里西奇和卡梅隆·安东尼后，在第一轮第,夫妻,夫妻
1936年8月27日，连战的妻子赵兰坤在西安生下连震东。,unknown,unknown
李彩桦-与潘启翀聽Derek聽2011年，媒体报道李彩华与现年35岁的,unknown,unknown
而秦可卿的儿子贾珍的丈夫贾蓉则对于妻子之死毫无悲痛之感，这堪称是奇中之奇。,兄弟姐妹,unknown
此时徐志摩正在追求林徽音，无暇顾及张幼仪，一听便说：“把孩子打掉。,unknown,unknown
12月，刘伯承与朱德等人组织领导了泸顺起义，起兵讨伐四川军阀刘湘。,unknown,unknown
单膝跪地向游泳世界冠军周雅菲求婚王凡莫科曾与神秘女子传过绯闻，但是“八一铁汉”莫科最终还是选择像姚明,unknown,unknown
肃顺与左宗棠、曾国藩左宗棠出佐湘幕，初露峥嵘，不想却得罪了永州总兵樊燮和湖广总,unknown,unknown
海岩侣皓吉吉剧《舞者》2008年播出后，引起了观众的极大关注，收视率一度,unknown,unknown
-经历出身演艺世家的黎民伟，爷爷是有“香港电影之父”之称的黎婴，姑母是甘草演员黎萱，胞姊黎姿又是电视,unknown,unknown
在第五展室里陈列着恩格斯和马克思的全身铜像。,unknown,unknown
传说金吒是陈塘关总兵托塔天王李靖的长子，有两个弟弟，分别是哪吒和木吒。,好友,父母
廖烈文亲任廖宝珊纪念书院督监。,unknown,unknown
1997年初，在参加一次联欢性质的晚会时，年长5岁的张海和黄鹭重逢，张海主动到后台找到黄鹭，一句“你,unknown,unknown
-相关词条郭台铭，曾馨莹林淑如-参考资料http:,合作,合作
《献世》陈小春《有口难开》黄维德应采儿-所获荣誉聽2011年1月19日晚，新浪2010网络盛,unknown,unknown
的确是谢东的私生子，但侯氏兄弟并没有对侯宝林“不地道”，他就曾亲眼目睹侯耀华关照朋友要对谢东这个“弟,unknown,unknown
1949年1月，杨得志(左起)、李天焕、杨成武、聂荣臻、罗瑞卿在平津前线司令部12月4日，毛泽东,情侣,夫妻
州颖川许昌（今河南许昌）官至：尚书左仆射、镇军将军父亲：陈群母亲：荀氏子女：陈恂、陈温陈泰是魏国名臣,情侣,情侣
职：丹杨太守（也作“丹阳”）妻子：徐氏父亲：孙坚母亲：孙翊叔父：孙静兄弟：孙策、孙权、吴夫人、孙匡、,unknown,unknown
某网上，关于余音的帖子被高高挂起，《焦裕禄的外孙将问鼎09红歌会冠军？》一帖，点击率上万。,unknown,unknown
勤曹乘曹京曹棘曹宪曹节[魏]曹华相关人物:曹茂曹叡曾效力过的势力:魏曹操-人物简介曹操一共有二十五个,兄弟姐妹,兄弟姐妹
陈法拉出席活动时否认恋情，澄清薛世恒只是朋友及工作伙伴。,unknown,unknown
-流派传人范瑞娟弟子方雪雯的《打金枝》学生和传人有陈琦、江瑶、邵文娟、史济华、韩婷婷,夫妻,夫妻
[越剧演员]-粤剧渊源陈宝珠与粤剧渊源甚深，父亲陈非侬、母亲宫粉红均为粤剧红伶，师傅任剑辉更是香港粤,unknown,unknown
-豪侈无度虢国夫人杨玉环有才貌，父杨玄琰，曾任蜀州司户，她随之居住在蜀中，长成嫁裴氏,unknown,unknown
十一个顾问中有四个大右派：分别是吴泽霖、费孝通、吴文藻、黄现璠。,父母,父母
-与李婷芷的关系马景涛与马景涛2001年，马景涛来内地拍摄《新蜀山剑侠》，同剧女,unknown,unknown
实在是差多了，司马懿与诸葛亮的交战中未有处下风，而曹真和诸葛亮第一次交锋，就害死了张郃。,师生,unknown
[1]朱宏钧-丈夫白岩松1993年，中央电视台准备推出一个早间新闻栏目《东方时空》,同门,unknown
己丑年四月廿六日：上海戏剧学校（正字辈）七十周年同学会举行张正芳-同类人参看耿巧云、管波、郭睿玥、顾,unknown,unknown
凤凰女、陆飞鸿、谭兰卿27观音得道香花山大贺寿（1966）白雪仙、任剑辉、凤凰女、林家声与红线女：1,夫妻,夫妻
陈文宏确定加盟广州粤羽俱乐部，在2011赛季，李宗伟、陶菲克陈文宏将和古健杰并肩作战。,合作,合作
的父亲大桥国小校长赵玉柱透露，赵建铭将与总统陈水扁的女儿陈幸妤结婚的喜事，但他都没有“走露风声”，他,unknown,unknown
在汤仙虎和鲍春来两位教练的精心调教下，钟波在国家队又有了长足进步，开始在一系列国际比赛中崭露头角，并,父母,父母
厨师的日本人藤本健二在回忆录提及，年幼时金汝贞得到金正日的相当喜爱。,夫妻,夫妻
婚姻生变2010年6月1日聽孙志浩向贾静雯要求财产分割，自称月薪3万5。,情侣,unknown
曹休-历史年表【228年】曹肇去世，曹肇继嗣为安阳乡侯。,unknown,unknown
演出剧目《红娘》（薛艳君，靳艳玲，赵登先，李凤梧，张小兰，周静，张翠玲等）2006年10月6日，农历,unknown,unknown
夫差继位后，打败了越国，越王勾践投降，伍子胥认为应一举消灭越国，但是夫差为伯嚭所谗，不听“联齐抗越”,夫妻,夫妻
影视作品聽聽聽聽聽聽爆笑喜剧《戏里戏外戏中戏》演员：聽巩汉林、金珠、王馨悦、王玉宁、付强、梁超、白桦,父母,父母
腹产下七斤男婴母子平安取名YaYa2008年7月28日，王仁甫、季芹的儿子降生。,unknown,unknown
吴侯孙尚香为了夺取被刘备占据的荆州，以孙权为钓饵设下联姻骗局。,unknown,unknown
-概述拉姑胡须kong照片曝光聽胡须kong，本名江耀城，航空机师，2002年与,unknown,unknown
技界“三钱”1956年制定规划了中国第一次12年科学规划，钱伟长与钱学森、钱三强一起，被周恩来称为中,unknown,unknown
-相关条目刘石龄刘仁之刘如孙刘森峰刘禅-概况刘瑶，刘备之孙，刘瑶二子，蜀亡后投降。,兄弟姐妹,兄弟姐妹
、余丽珍、谭兰卿、任冰儿25金凤银龙双挂帅（1962）任剑辉、余丽珍、半日安、任冰儿26金鐧怒碎银安,上下级,上下级
-人物概述少林和尚——虚竹虚竹父亲，少林主持方丈——玄慈，母亲，四大恶人之一——叶二娘，从小就在少林,unknown,unknown
林月云-婚外恋情侯佩岑的母亲邱嘉雄曾是台湾闽南语演员，她因先后介入两个家庭而被外界非议。,父母,unknown
习仲勋-家庭习远平与儿子习近平、习远平父亲：习仲勋，陕西富平人，中共元老之一，,unknown,unknown
-家庭婚姻江口洋介与森高千里英俊的学生明星三浦友和娶了早熟的玉女山口百惠为妻，然后成为,夫妻,夫妻
，便以其弟女嫁给孙策弟孙匡。,夫妻,夫妻
两人相识于台北医学院，当时的林淑如既没钱，学历也不高，而郭台铭却是学校的佼佼者。,unknown,unknown
和林淑如佳话一直在流传，而郭台铭疼老婆也是非常出名的，林淑如在去世前就拥有13亿资产，而郭台,师生,师生
民国二十九年，于俊波与戴少甫在天津燕乐戏院与京韵大鼓名家白云鹏同台演出。,unknown,unknown
在胡中惠4岁那年郭麒麟与郭德纲离婚，远赴日本。,unknown,unknown
-吊唁金正日韩国前总统金弘业的次子、前议员金大中12月26-27日赴平壤吊唁了已故朝鲜最高领导人金正,unknown,unknown
公元1219年西征时，拖雷与其父成吉思汗统率主力越过沙漠，直趋不花剌。,unknown,unknown
包庭政-概述包家三兄弟·包伟铭包小松包小柏图片，包伟铭与儿子包庭政照片包庭政，1990年1月1,夫妻,夫妻
日前，陆毅鲍蕾夫妇从上海回京，记者在首都机场意外发现鲍莉郭京飞接机等候的身影，四人相见甚欢，汇合后直,父母,父母
结婚前，潘长江问杨云：“我可是农村户口，将来你嫌弃我怎么办？,情侣,情侣
英千里是英若诚的父亲，英若诚之母蔡葆真出身宦门，其父蔡儒楷是上世纪二十年代的山东省长。,夫妻,夫妻
配偶聽聽聽蔡氏聽聽身份：诸葛孔明(诸葛亮)岳父子女聽聽聽黄月英聽聽黄承彦-介绍黄承彦者，高爽开列，为,夫妻,夫妻
这十位演员是：范瑞娟、尹桂芳、袁雪芬、竺水招、徐玉兰、筱丹桂、徐天红、傅全香、张桂凤、吴小楼。,父母,unknown
先是通过蒋纬国给蒋经国打招呼，称宋美龄的“出处”应有合理的安排。,unknown,unknown
花、徐玉兰、赵瑞花、竺素娥、邢竹琴、范瑞娟、尹桂芳、竺水招、李艳芳、姚水娟等演员。,unknown,unknown
-活动年表1939年1月18日，农历戊寅年十一月廿八日：王维筠收王维秋、金仲仁为徒金仲仁收王维秋、王,父母,父母
李贞，比古天顺大4岁，是个耿直忠厚但脾气暴躁的青年。,unknown,unknown
1942年，在重庆百龄餐厅，王映霞与时任重庆华中航运局经理的钟贤道结为连理。,unknown,unknown
佩岑代表家属追忆父亲生平，忍不住伤心落泪祭父时她难过落泪，侯世宏曾是知名广播、电视制作人，侯佩岑母亲,unknown,unknown
、林家声、谭倩红28大成七彩片大集会（1963）任剑辉、芳艳芬、新马仔、吴君丽29芬芳香艳喜迎春（1,父母,兄弟姐妹
-绯闻赵薇与汪雨与赵薇新加坡《联合早报》曝出了赵薇与上海知名人士汪道涵的,unknown,unknown
35后窗（1955）张瑛、马师曾、容小意、紫罗莲、吴楚帆、任剑辉、芳艳芬、李清、红线女、白雪仙、梅绮,好友,好友
傅作义后来解释傅冬菊此时的心情，他不是后悔北平和平解放，而是不服气这样蔑视他和他,unknown,unknown
其他亲人毛泽民有2个弟弟：毛泽东（1895-1943）和毛泽覃（1905-1935），（包括,unknown,unknown
3个月后，苏芮和阿文结婚了。,unknown,unknown
]离婚事件聽2011年6月27日晚间，就在沪上媒体曝光佟晨洁加拿大模特新女友的当天，谢晖通过自己的微,unknown,unknown
金大中-吊唁金正日韩国前总统金弘业的次子、前议员金弘业12月26-27日赴平壤吊唁了已故朝鲜最,夫妻,夫妻
、吴君丽、梁醒波、石坚49一楼风雪夜归人（1962）任冰儿、吴君丽、麦炳荣、任剑辉50白帝城会妻（1,unknown,unknown
几乎没有在国内赛场上失手过，再加上李子君正式返回中国担当女单组主教练，李明珠和队友们的身影逐渐出现在,合作,合作
-身世背景汪小菲是张兰与“俏江南”集团董事长汪则翰女士的独生子，有指汪则翰早年是豆制品厂供销科科长，,unknown,unknown
太，张德武饰刘廷，曹云金饰王忠，刘云天饰冬哥，肖佳玉饰春妹，孔云龙饰大太监，栾云平饰车夫，邢文昭、李,unknown,unknown
8月20日，张闻天回到北京，夫人刘英已经在家等待。,情侣,情侣
第二、对贾珍、贾琏的嬉笑怒骂尤三姐与尤二姐的百依百顺不同，尤三姐就不是逆来顺受的弱女子了。,unknown,unknown
“热力兄弟”加盟“激浪精舞门潮流派对”亚洲四小天王韩庚郑允浩吴尊赵晨浩和四大天王刘德华黎明郭富城张学,unknown,unknown
安贞焕与太太李惠媛，予人的感觉就好象英格兰的贝克汉姆与维多利亚。,父母,父母
正忙着在大陆各省奔走迁厂之际，郭台强的二弟——郭台铭在台湾的新闻却越来越多，一会儿入主存储器通路商劲,夫妻,夫妻
出生于江苏海门，其父王个簃在教书之余喜欢收藏名人字画，这对王少阶的影响非常大，使他从小就对诗文书画篆,父母,父母
当时《解放日报》曾这样报道：“凡见过杨振铎演拳的人，看了杨澄甫的表演，都认为他神态酷似文章，姿势及动,unknown,unknown
、姜昆《合家欢》表演者：戴志诚、戴志诚《五官争谦》表演者：马季、赵炎、王金宝、刘伟、冯巩,夫妻,夫妻
[1]关悦-婚姻生活关悦和佟大为2008年4月17日，与演员佟大为在北京结婚。,合作,合作
簪》，主要演员有：施银花、屠杏花、小白玉梅、姚水娟、商芳臣、李艳芳、筱丹桂、马樟花、袁雪芬、傅全香、,unknown,unknown
高百岁早年弟子有周信芳、陈鹤峰、李如春、杨宝童、王少楼等。,兄弟姐妹,兄弟姐妹
第六，论渊源，周芷若当上明教教主之后才初遇赵敏，而与张无忌于幼年时便已相识。,unknown,unknown
公元207年冬至公元208年春，当时占据新野的张飞，带着大将关羽、刘备，三次到南阳(今湖北襄阳隆中),unknown,unknown
韦小宝亲点的“元配正室大老婆”阿珂，是陈圆圆跟吴三桂所生的女儿，两岁时被本是长平公主的九难拐,合作,合作
长久以来，很多人都认为曹丕不死，必为其兄曹冲所害。,unknown,unknown
的生前好友侯耀文为第二被告，牛成志弟子郭晓小则为第三被告。,合作,合作
个人首张专辑《大道理》，那英、毛宁、李崎、巩汉林和金珠夫妇等潘阳的好友现身，为潘长江助阵。,父母,父母
演出剧目《搜孤救孤》（孟小冬饰程婴，赵培鑫饰公孙杵臼，裘盛戎饰屠岸贾，魏莲芳饰程妻）1947年9月1,unknown,unknown
使日后回国入朝作改革变法先驱，后因百日维新之故，黄遵宪帝三次下诏催促光绪入京。,夫妻,夫妻
兰芳大剧院收另一梨园世家、一代宗师谭鑫培的后人、著名京剧鼓师谭娜先生的孙女谭世秀为徒。,夫妻,夫妻
-生平建安十八年（213年）时，曹操将三个女儿：曹宪、曹华、曹节，送入宫中，做汉献帝的夫人。,夫妻,夫妻
，同由父亲金日成介绍的朝鲜革命烈士遗孤洪一天结婚，1968年金正日的长女金敬惠出生。,unknown,unknown
李尚大和吴灿英育有两儿一女，李尚大母亲健在时，他把一儿一女留在母亲身边，直,夫妻,夫妻
耿永山-家世皮黄演员耿永清胞弟。,夫妻,夫妻
、凤凰女、余美华、任冰儿26还我山河还我妻（1963）任剑辉、凤凰女、陆飞鸿、谭兰卿27观音得道香花,unknown,unknown
巴金-萧珊与萧珊的传奇婚恋1939年，巴金从桂林去昆明，两相约定第二,父母,父母
"2003年，新马师曾以＄9,540万把邓兆尊遗产之一的永祥大厦售予东华三院。",父母,父母
，动作杂耍皆须样样精通，可是要论起唱来，“七小福”中也只于占元一副好嗓子，而成龙也惟独对此要求低些，,unknown,unknown
”范姜笑称与钟镇涛举行婚礼主要是向爱女钟懿交代，届时会找大儿子(钟嘉浚)、大女,unknown,unknown
-简介卫长公主，西汉公主，汉武帝和卫子夫的女儿。,unknown,unknown
黄兴组织东方暗杀团、派李应生、李沛基等至广州，于李准必经之地开设成记洋货店，贮弹以备。,unknown,unknown
汉高祖-功绩政绩吕雉十一年春，淮阴侯韩信谋反，吕后与萧何用计，诛杀韩信。,unknown,unknown
离婚后查尔斯王储与查尔斯婚礼1996年8月28日戴安娜和戴安娜王妃正式离婚，戴安娜王妃获准保留“威尔,父母,unknown
-人物简介武宣卞皇后(160-230)就是魏武帝曹操的妻子卞氏，也是魏文帝曹丕、任城威王曹彰、陈思王,亲戚,亲戚
说龚澎在政治上天真直率，果真乔冠华辞世之后，走上辉煌之后的乔外长，磨难多多。,unknown,合作
更容易激动和逆反——因此在教育吴卓林的时候，吴绮莉更愿意与孩子自由交流，给孩子自己更大的选择空间。,合作,合作
察冀中央局和朱德、刘少奇关于成立晋察冀野战军指挥机构的建议，杨得志任第一政治委员，罗瑞卿任司令员。,unknown,unknown
元配麦秀英是欧亚混血儿，由于婚后几年不孕，何东遂娶华人周绮文为妾，但3年后亦无所出。,unknown,unknown
武魁海-奇闻趣事武魁海的徒弟是魏文亮，师徒都是相声界的佼佼者。,夫妻,夫妻
-从影经历袁日初自幼便与几位兄弟袁和平、袁信义、袁祥仁、袁振威、袁龙驹一起随父亲袁小田习武。,兄弟姐妹,兄弟姐妹
侣均发生在井冈山的只有两对，一对是毛泽东与贺子珍，另一对就是彭儒和陈正人。,unknown,unknown
因此，张君秋在武汉收了陈瑶华、王婉华为徒，高盛麟在北京收了杨少春、李可后，茹富兰坚持要高收其子茹元俊,unknown,unknown
剧中盖叫天饰史文恭，张善鸿饰卢俊义，张善椿饰林冲，张善麟饰武松，张善康饰燕青。,父母,父母
举行，参加者有张梦庚、马富禄、李洪春、贯大元、于连泉、曾平、侯喜瑞、张仲翰、梅兰芳、李桂春、萧长华、,unknown,unknown
-不诛后降程昱曹操征讨马超，曹丕留守，使昱参军事。,合作,合作
、余丽珍、半日安、任冰儿26金鐧怒碎银安殿（1962）靓次伯、余丽珍、任剑辉、李香琴27罗成叫关（1,情侣,情侣
的母亲性别：女杀生丸的母亲声优：榊原良子丈夫：犬大将(斗牙王)儿子：杀生丸出自：《犬夜叉》完结篇种,unknown,unknown
三顾茅庐之后，刘备出山成为诸葛亮的军师。,情侣,情侣
荟萃共襄盛举此次晚会可谓名家荟萃，不但越剧表演艺术家袁雪芬、范瑞娟、傅全香、徐玉兰、王文娟、张桂凤、,合作,合作
的子女应该上大学时受到极大破坏，使钱学森的子女钱永刚、钱永真没有得到他们堂兄弟的发展环境。,师生,师生
、孟凡贵和戴志诚《帽子工厂》表演：常宝华、常贵田；,unknown,unknown
亳州]官至：武卫将军列侯聽父亲：曹真兄弟姐妹：曹爽，曹训，曹则，曹彦，曹皑聽曹羲-历史传记曹训，曹真,夫妻,夫妻
教主属下：明教“天、地、风、雷”四门妻子：纪晓芙女儿：杨不悔女婿：殷梨亭[1]杨逍-人物生平杨逍风出,合作,合作
-简介湖阳公主刘黄，是东汉光武帝刘秀的大姐。,父母,夫妻
粉彩山水多格盆民国汪野亭汪少平合绘粉彩山水纹笔洗民国汪野亭绘粉彩山水园光瓷板民国汪,祖孙,父母
傅幸文主要弟子有：周雅琴、朱祝芬、戚雅仙、金静等。,unknown,unknown
-个人最爱郭可盈、林文龙最敬爱的人：父母最欣赏演员：周润发最欣赏歌星：张学,夫妻,夫妻
"妻子侯郭纯美不满，4年前投书本报，指林月云""破坏他人婚姻，既贱又耻""，侯世宏当时希望整件事能尽快平静",unknown,unknown
[革命领袖]-家庭介绍林彪之弟张浩1916年，张浩与本县涂家湾贫苦农民家庭出身的涂俊明（18,合作,合作
故居，并对邓演达父亲邓镜人创办的鹿冈小学进行修整、扩建，更名为“演达学校”。,合作,合作
[1]2011年3月，朱少杰去年秘密与内地武指郭羡妮拍拖，更决定于2011年拉埋天窗，原定2011年,情侣,情侣
主要传人有朱祝芬、戚雅仙、金静等周雅琴-艺术人生《玉堂春》剧照不平凡的一生戚雅仙原籍是浙,unknown,unknown
宋祖英-家庭从左到右：罗浩(宋佳玲的丈夫)、弟弟、宋祖英、宋佳玲宋佳玲在家中老二，姐姐是著名,夫妻,夫妻
多少个寒风呼啸的冬夜，多少个天方破晓的黎明，邓颖超惦记着外出的周恩来，时而看看室内的温度计，时而试试,夫妻,夫妻
祭奠仪式结束后，许鹿希的夫人邓稼先女士按照邓稼先生前嘱托，向杨振宁赠送一套安徽出产的石刻文房用,父母,父母
-保护文物周作人要求停止拍卖周吉宜手稿2012年5月，由周作人撰书、周树人（鲁迅）批校的《日,unknown,unknown
《秦始皇本纪》记载：“始皇长子扶苏谏曰：“天下初定，远方黔首未集，诸生皆诵法孔子，今上皆重法绳,父母,父母
-个人档案姓名：毛甜懿妹妹：毛东东父亲：毛新宇母亲：刘滨祖父：毛岸青祖母：邵华,夫妻,夫妻
卡卡是攻击型中场，而迪甘则是一名中后卫。,父母,父母
2005年9月，李敖搭机前往大陆，同行的李戡首度在媒体前曝光，当年13岁的李戡显得较同年龄小孩更稳重,师生,师生
第99回原因：受风、瘫痪住所位置：正西旱寨同住：董平、单廷圭、魏定国注：电视剧《水浒传》将林冲之死改,夫妻,unknown
周汝昌认为贾母贾政都不是贾赦和贾代善的亲儿子，而是代善之弟的儿子，是代善的侄子。,夫妻,夫妻
-其母曹整，曹操之妾，生有曹乘、李姬、曹京三子。,unknown,unknown
典韦讨吕布于濮阳时，曹操奋力勇战，杀退吕布，为曹操所异。,师生,师生
太子谥号：文皇帝家庭成员：父：孙权，母：王，妻：张，子：孙和、孙德、孙谦、孙俊孙皓-历史年表：年十四,unknown,unknown
、任冰儿4山东扎脚穆桂英(上集)（1959）任剑辉、余丽珍、梁醒波、半日安5山东扎脚穆桂英(下集)（,unknown,unknown
，她的家族堪称书香门第，林璎的曾祖父林孝恂，是光绪己丑科(1889年)进士，历任浙江海宁、石门、仁和,unknown,unknown
聽杨受成-简介聽香港英皇集团老板杨诺思之女。,父母,父母
当粟裕解释自己从不争权，坚持华野司令员由陈毅兼任时，彭德怀马上说：“这正说明你阴险!”聂荣臻说：“作,师生,师生
-家庭成员家庭成员第一任妻子乔冠华的第一任妻子是龚澎，1970年病逝，曾任新中国外交部新闻司司长、部,祖孙,祖孙
他的艺术生涯中，曾经与很多演员合作过，其中有杨少华、阎月明、赵伟洲、刘惠、李嘉存、张志宽等等，谢天顺,合作,unknown
都非常开心婚姻2000年10月1日，温碧霞嫁给香港富商何祖光，在泰国布吉菩提树（Banyan聽Tre,unknown,unknown
而据林海音在怀念沉樱的文章中说：“她并没有和梁宗岱离婚，在名义上仍是梁太太，而梁宗岱的妹妹在台湾，她,同门,同门
与二太太所生）何鸿燊（何超仪与二太太所生）何猷龙（何鸿燊与二太太所生）何超云（何鸿燊,unknown,unknown
郭守敬与王恂创立招差术，用高间距三次差内插法计算日、月、五星的运动和位置,合作,合作
”一事被媒体炒得热火朝天，当时“醉酒驾车”事件的女主角之一—李婷宜的妹妹李婷芷便被传是马景涛的新女友,亲戚,亲戚
宝最爱的动物：狗（曾饲养四只狗）徒弟人数：关淑怡、黎姿、罗文郑伊健-个人概述罗文罗文（RomanTa,unknown,unknown
晚，由时尚集团主办的2011时尚新娘婚尚盛典在北京举行，演员郭晓冬和爱妻程莉莎荣获3s明星夫妻大奖（,unknown,unknown
齐秦说方美芳当歌星有了名气后，她帮忙齐秦打理琐事，扮演秦秘书兼助理的角色,unknown,unknown
同年，杨秀清在赐西洋番弟诏裹，又特地对洪秀全之死作了一番解释，说：「爷爷顶先降圣旨，师由外出苦难清。,unknown,unknown
但是当年梁咏琪被指是郑伊健和邵美琪的第三者，但郑经理人林珊珊指该事件属一场误会，此事件,unknown,unknown
-人物经历裘桂仙自幼拜张凤台、徐立棠学铜锤花脸，入小鸿奎科班，后拜在何桂山门下，搭喜庆、,unknown,unknown
袁绍派大将颜良与淳于琼、郭图等攻白马，曹操亲自率军救援，并命张辽与关羽为前锋。,unknown,夫妻
宵节专场相声晚会在北京演出两场，郭德纲、于谦、何云伟、李菁、曹云金和刘云天在晚会上推出不少新段子；,亲戚,亲戚
《梦中婚》表演者：高笑林、冯宝华《捉放曹》表演者：魏文华、冯宝华《铃铛镨》表演者：于宝林、冯宝华《白,父母,父母
宋嘉树一生忧国忧民，尽管后来因为孙中山和他的女儿宋庆龄结合而与孙中山断绝关系，但是他并没有因为女儿,合作,合作
中共中央领导人毛泽东、朱德、任弼时、陈云、张浩、叶剑英等，轮流为林彪守灵。,夫妻,夫妻
前男友田雨与月亮结婚汤唯出名后，很多媒体记者爆料其热恋男友为演员田雨，两人因合作电视,夫妻,夫妻
登之夜活动时与外籍女友双手紧握齐走红毯，高调承认恋情，这也是谢晖与佟晨洁离婚后第一次正式公开恋情。,unknown,unknown
"司:sidusHQ圈内好友：女崔智友聽男宋钟基，金敏智,杨诚俊李信成-演出经历金敏智电视剧2008年",夫妻,夫妻
-星闻轶事【麒麟童和周少麟的父子情谊】周信芳与儿女们，周信芳怀抱者为周采茨，前排（,unknown,unknown
聽20100626《综艺大国民》聽小小彬聽小彬彬聽迷你彬聽马如龙聽20100713《一袋女王》聽小彬,情侣,情侣
同年，世界杯期间，帕瓦罗蒂与多明戈、卡雷拉斯在罗马卡拉卡拉浴场前地举办了首场“世界三大男高音演唱会”,unknown,unknown
-夏金桂夏金桂，薛蟠之妻。,亲戚,亲戚
吴湖帆离开苏州到上海，寓嵩山路，与陈子清合办书画事务所，同嵩山草堂相浴?一九二五年民国十四年乙,unknown,unknown
2011年9月16日，赵胤胤与陈数在巴厘岛举行婚礼。,合作,合作
聽陈香梅，廖香词之女、廖凤舒的外孙女；,unknown,unknown
豫剧的贾廷聚、常俊丽、贾文龙、汪荃珍、张宝英、魏俊英等相继登台，演唱了《打金枝》、《花木兰》、《花打,unknown,unknown
的床照，两人在相中表现亲昵，林峰昨天为新剧试造型时，直言与潘霜霜拍拖数月，双方更去到见家长的地步，但,合作,合作
《住医院》郭全宝、刘宝瑞；,unknown,unknown
稳住局势以11-9进入局间调整，此后杨维张洁雯连续利用杀球和大力劈杀压制对手，打出一波得分高潮后以1,unknown,unknown
、罗艳卿、罗剑郎、麦炳荣56大侠金葫芦（1963）故事内容任冰儿、罗艳卿、任剑辉、郑君绵57天降福星,夫妻,夫妻
黄炎培-贡献姚维钧一生出了三部诗集，他与姚维钧婚后出版的《天长集》、《红桑》都,父母,父母
大天王聽周杰伦、罗志祥、王力宏、林俊杰聽聽亚洲四小天王聽允浩、韩庚、吴尊、郑赵晨浩新四大天王亚洲四小,unknown,unknown
文成文明皇后父也子：乐令公邈后：慕容王后子：太子王仁冯弘-相关词条陈顼冯跋高云陈蒨陈叔宝陈霸先聽聽冯,unknown,unknown
望》《阿公的酒碗》左（1）丈夫罗浩，左（2）弟弟，左（3）宋祖英，右（1）妹妹宋佳玲《土家喜酒咚咚亏,unknown,unknown
杨康若非随了完颜烈，包惜弱的一生（如果他有机会出生），必然改写。,兄弟姐妹,兄弟姐妹
病因一、郁怒成积：1893年秋鲁迅祖父周介孚科场贿赂案发，鲁迅的父亲周伯宜在杭州乡试，与案情有涉，故,unknown,unknown
鲁元公主-生平经历鲁元公主聽刘邦为亭长时，家贫，吕后攻苦食淡。,unknown,unknown
聽竹下登-家庭父亲竹下勇造（政治家）异母弟弟竹下亘（政治家）前妻竹下政江妻子竹下,父母,unknown
苏海文很爽快地承认：“这一重大收购与我包玉刚的大女儿“女船王”包陪庆们进入中国市场有联系。,夫妻,夫妻
表演的相声2002年，春节联欢晚会，姜昆、戴志诚表演的相声《妙趣网生》。,合作,合作
公元641元，唐太宗终于同意了松赞干布和亲的请求，答应把宗室女文成公主嫁给他。,合作,合作
殷离在四女之中，对张无忌的感情最亲切自然，最可敬可感，这或许是因为殷离与他母亲殷素素,夫妻,夫妻
2011年10月，一起合作拍摄《如意》的刘恺威与杨幂就多次传出因戏生情。,unknown,unknown
”由于褚家褚裒声名远播，门第高贵，当晋成帝为弟弟琅琊王司马岳选妃的时候，褚蒜子因此被选中，被聘为琅琊,unknown,unknown
主要原因与郭靖专心守城，而无暇教武修文、武敦儒练武相关。,夫妻,夫妻
刘恂，刘禅六子，蜀汉亡后投降。,夫妻,夫妻
